Date;Ticker;Open;High;Low;Close;Volume
2023-10-02 00:00:00+02:00;NOVO-B.CO;620.1822284752587;620.7591187014874;607.8747479265774;612.2977294921875;2549737
2023-10-03 00:00:00+02:00;NOVO-B.CO;624.9898721831964;629.5090414578609;600.374909922661;601.6248779296875;2994858
2023-10-04 00:00:00+02:00;NOVO-B.CO;597.9711435183397;614.0285297651969;590.6635339176189;610.2786254882812;2438224
2023-10-05 00:00:00+02:00;NOVO-B.CO;608.3556059243904;614.7016341671643;603.8364361458305;611.3363037109375;2094905
2023-10-06 00:00:00+02:00;NOVO-B.CO;620.1823190049369;624.4130435705052;615.0862589737102;620.4707641601562;2103410
2023-10-09 00:00:00+02:00;NOVO-B.CO;621.8169103980007;631.3359524965402;615.3746948242188;615.3746948242188;2304408
2023-10-10 00:00:00+02:00;NOVO-B.CO;621.9129847800604;627.6821220390344;616.913054084943;625.0859985351562;2490895
2023-10-11 00:00:00+02:00;NOVO-B.CO;644.2203259964921;656.1432331164798;641.816518809938;655.5662841796875;4594397
2023-10-12 00:00:00+02:00;NOVO-B.CO;656.9124770978273;692.6811418085432;655.5663215219978;682.8735961914062;4750332
2023-10-13 00:00:00+02:00;NOVO-B.CO;680.6620789445203;713.6423024135873;664.3161897751642;688.93115234375;7074275
2023-10-16 00:00:00+02:00;NOVO-B.CO;697.8733091224535;702.296349674726;679.7005615234375;679.7005615234375;4241625
2023-10-17 00:00:00+02:00;NOVO-B.CO;682.3927822129651;693.8348689801771;682.3927822129651;685.5657958984375;2850955
2023-10-18 00:00:00+02:00;NOVO-B.CO;680.2773541841578;688.2579813722307;679.2197026205271;685.3734130859375;2007304
2023-10-19 00:00:00+02:00;NOVO-B.CO;674.7966789119275;682.8734937822359;653.5470488338137;657.8739013671875;3716902
2023-10-20 00:00:00+02:00;NOVO-B.CO;653.9317042326953;666.1430568638507;651.6240844726562;651.6240844726562;3238593
2023-10-23 00:00:00+02:00;NOVO-B.CO;651.9125198563321;665.3738403253419;650.4702355203667;655.950927734375;1734662
2023-10-24 00:00:00+02:00;NOVO-B.CO;651.9125128778894;668.2584018438541;647.0087696627796;655.6624755859375;2293283
2023-10-25 00:00:00+02:00;NOVO-B.CO;655.6624332596253;669.0275652216964;654.2201490322058;665.7584228515625;2306504
2023-10-26 00:00:00+02:00;NOVO-B.CO;658.1623359674537;658.1623359674537;639.9895321424701;650.4701538085938;2558084
2023-10-27 00:00:00+02:00;NOVO-B.CO;636.9127864137492;647.6817958425861;630.1821261773762;634.7974243164062;3181960
2023-10-30 00:00:00+01:00;NOVO-B.CO;637.201240897284;659.2200802103318;637.008924578939;651.6240844726562;2429237
